TotalLoad,OtherLoad,HVACLoad,Ambient,Humidity,DOW,TOD,ClgSP,KitchenClgSP,GuestClgSP,HtgSP,KitchenHtgSP,GuestHtgSP,SupplyAirSP,ChwSP
105448.02027,65606.05872,39841.96155,  13.30000,  75.00000,   2.00000,   2.75000,  30.94811,  30.94811,  24.94811,  16.00000,  16.00000,  21.00000,  13.47406,   8.12217
106300.24889,65620.55140,40679.69749,  13.30000,  75.00000,   2.00000,   3.00000,  29.38368,  29.38368,  23.38368,  16.00000,  16.00000,  21.00000,  12.69184,   5.77553
130646.65128,72314.31302,58332.33826,  13.17500,  75.50000,   2.00000,   3.25000,  29.24314,  29.24314,  23.24314,  16.00000,  16.00000,  21.00000,  12.62157,   5.56471
131826.83738,72133.12958,59693.70780,  13.05000,  76.00000,   2.00000,   3.50000,  29.00739,  29.00739,  23.00739,  16.00000,  16.00000,  21.00000,  12.50370,   5.21109
105798.04865,72163.13367,33634.91497,  12.92500,  76.50000,   2.00000,   3.75000,  30.19783,  30.19783,  24.19783,  16.00000,  16.00000,  21.00000,  13.09892,   6.99675
103421.17203,72296.04367,31125.12836,  12.80000,  77.00000,   2.00000,   4.00000,  31.66471,  31.66471,  25.66471,  16.00000,  16.00000,  21.00000,  13.83236,   9.19707
132837.99804,99813.46651,33024.53152,  12.65000,  78.50000,   2.00000,   4.25000,  31.08409,  31.08409,  25.08409,  16.00000,  16.00000,  21.00000,  13.54205,   8.32614
151542.85659,83086.56746,68456.28913,  12.50000,  80.00000,   2.00000,   4.50000,  28.34665,  28.34665,  22.34665,  16.00000,  16.00000,  21.00000,  12.17333,   4.21998
118029.10197,82878.10791,35150.99406,  12.35000,  81.50000,   2.00000,   4.75000,  31.39049,  31.39049,  25.39049,  16.00000,  16.00000,  21.00000,  13.69524,   8.78573
132235.20165,82897.64928,49337.55237,  12.20000,  83.00000,   2.00000,   5.00000,  28.69673,  28.69673,  22.69673,  16.00000,  16.00000,  21.00000,  12.34837,   4.74510
228411.37894,180553.55333,47857.82562,  12.62500,  83.00000,   2.00000,   5.25000,  29.84663,  29.84663,  23.84663,  16.00000,  16.00000,  21.00000,  12.92332,   6.46995
261937.47167,180488.78982,81448.68185,  13.05000,  83.00000,   2.00000,   5.50000,  28.01546,  28.01546,  22.01546,  16.00000,  16.00000,  21.00000,  12.00773,   3.72319
211924.87915,180516.96384,31407.91531,  13.47500,  83.00000,   2.00000,   5.75000,  31.68730,  31.68730,  25.68730,  16.00000,  16.00000,  21.00000,  13.84365,   9.23095
234968.86935,180586.02577,54382.84358,  13.90000,  83.00000,   2.00000,   6.00000,  30.22929,  30.22929,  24.22929,  16.00000,  16.00000,  21.00000,  13.11464,   7.04393
281937.68865,237463.82407,44473.86457,  14.87500,  77.50000,   2.00000,   6.25000,  31.57339,  31.57339,  25.57339,  16.00000,  16.00000,  21.00000,  13.78669,   9.06008
338835.03585,237467.00005,101368.03580,  15.85000,  72.00000,   2.00000,   6.50000,  28.15241,  28.15241,  22.15241,  16.00000,  16.00000,  21.00000,  12.07620,   3.92861
282485.49423,237482.06727,45003.42696,  16.82500,  66.50000,   2.00000,   6.75000,  31.98146,  31.98146,  25.98146,  16.00000,  16.00000,  21.00000,  13.99073,   9.67219
336451.96975,237498.85444,98953.11532,  17.80000,  61.00000,   2.00000,   7.00000,  28.90036,  28.90036,  22.90036,  16.00000,  16.00000,  21.00000,  12.45018,   5.05054
292340.01077,195223.94172,97116.06904,  18.35000,  59.50000,   2.00000,   7.25000,  28.73079,  28.73079,  22.73079,  16.00000,  16.00000,  21.00000,  12.36539,   4.79618
295671.83242,195216.09669,100455.73573,  18.90000,  58.00000,   2.00000,   7.50000,  22.52522,  24.52522,  22.52522,  21.00000,  19.00000,  21.00000,  12.26261,   4.48783
242494.19189,195171.78873,47322.40317,  19.45000,  56.50000,   2.00000,   7.75000,  25.66226,  27.66226,  25.66226,  21.00000,  19.00000,  21.00000,  13.83113,   9.19338
262189.95791,195242.47272,66947.48519,  20.00000,  55.00000,   2.00000,   8.00000,  24.40087,  26.40087,  24.40087,  21.00000,  19.00000,  21.00000,  13.20043,   7.30130
225370.56788,167159.78775,58210.78013,  20.42500,  54.00000,   2.00000,   8.25000,  24.96052,  26.96052,  24.96052,  21.00000,  19.00000,  21.00000,  13.48026,   8.14078
270312.89052,167156.36561,103156.52491,  20.85000,  53.00000,   2.00000,   8.50000,  22.79973,  24.79973,  22.79973,  21.00000,  19.00000,  21.00000,  12.39986,   4.89959
236274.32061,167128.62044,69145.70017,  21.27500,  52.00000,   2.00000,   8.75000,  24.27434,  26.27434,  24.27434,  21.00000,  19.00000,  21.00000,  13.13717,   7.11152
281998.34945,167162.54359,114835.80586,  21.70000,  51.00000,   2.00000,   9.00000,  22.35741,  24.35741,  22.35741,  21.00000,  19.00000,  21.00000,  12.17870,   4.23611
